instances,accuracy,kappa,kappa_t,kappa_m,f1_score,f1_score_0,f1_score_1,precision,precision_0,precision_1,recall,recall_0,recall_1
6000.0,54.0,6.655844155844146,2.1276595744680873,-9.523809523809506,53.327922077922075,47.72727272727273,58.92857142857143,53.327922077922075,47.72727272727273,58.92857142857143,53.327922077922075,47.72727272727273,58.92857142857143
6100.0,46.0,-14.552397114976651,-1.8867924528301798,-38.46153846153845,42.71673670088592,28.947368421052637,56.451612903225815,42.64264264264265,29.72972972972973,55.55555555555556,42.79108869272804,28.205128205128204,57.377049180327866
6200.0,45.0,-10.264635124298309,0.0,-17.021276595744688,44.86664754803556,42.10526315789473,47.61904761904762,44.871794871794876,41.66666666666667,48.07692307692308,44.86150140505821,42.5531914893617,47.16981132075472
6300.0,47.0,-7.287449392712557,-15.21739130434784,-32.5,46.3555180592477,40.449438202247194,52.25225225225225,46.36363636363636,40.0,52.72727272727272,46.3474025974026,40.909090909090914,51.78571428571429
6400.0,52.0,-2.9159519725557344,2.040816326530614,-26.315789473684205,48.54058534467447,35.13513513513514,61.904761904761905,48.52430555555556,36.11111111111111,60.9375,48.55687606112055,34.21052631578947,62.903225806451616
6500.0,48.0,-6.7323481116584425,0.0,-23.809523809523803,46.63382594417077,38.095238095238095,55.172413793103445,46.63382594417077,38.095238095238095,55.172413793103445,46.63382594417077,38.095238095238095,55.172413793103445
6600.0,53.0,4.393816110659085,4.081632653061228,-6.818181818181825,52.1973697609107,45.97701149425287,58.4070796460177,52.203182374541,46.51162790697674,57.89473684210527,52.19155844155844,45.45454545454545,58.92857142857143
6700.0,46.0,-11.616370400992139,0.0,-31.707317073170714,44.19181479950392,34.146341463414636,54.23728813559322,44.19181479950392,34.146341463414636,54.23728813559322,44.19181479950392,34.146341463414636,54.23728813559322
6800.0,54.0,7.407407407407398,0.0,0.0,53.703703703703695,50.0,57.407407407407405,53.703703703703695,50.0,57.407407407407405,53.703703703703695,50.0,57.407407407407405
6900.0,39.0,-21.999999999999996,-5.172413793103443,-15.0943396226415,38.944365192582026,41.904761904761905,35.78947368421052,38.88888888888889,40.0,37.77777777777778,39.0,44.0,34.0
7000.0,55.00000000000001,5.303030303030304,8.163265306122456,15.094339622641522,53.303527074018874,66.66666666666667,30.76923076923077,54.09356725146199,55.55555555555556,52.63157894736842,52.53623188405797,83.33333333333334,21.73913043478261
7100.0,52.0,0.373599003735995,-2.1276595744680873,-6.666666666666673,50.18832391713748,40.0,60.0,50.18359853121175,37.2093023255814,63.1578947368421,50.19305019305019,43.24324324324324,57.14285714285714
7200.0,53.0,-10.536218250235171,6.000000000000005,-42.42424242424243,44.68808861150937,22.950819672131146,66.18705035971223,44.44444444444444,25.0,63.888888888888886,44.93441881501583,21.21212121212121,68.65671641791045
7300.0,46.0,-10.47463175122749,0.0,6.896551724137937,44.64482516781885,54.23728813559322,34.146341463414636,44.44444444444444,50.0,38.88888888888889,44.847020933977454,59.25925925925925,30.434782608695656
7400.0,64.0,10.891089108910876,23.404255319148934,7.692307692307699,55.87106676899464,33.333333333333336,75.34246575342466,56.875,45.0,68.75,54.90196078431373,26.47058823529412,83.33333333333334
7500.0,61.0,-1.0362694300518434,17.021276595744673,-11.42857142857144,49.305429510909256,17.02127659574468,74.50980392156863,49.0530303030303,33.33333333333333,64.77272727272727,49.56043956043956,11.428571428571429,87.6923076923077
7600.0,57.99999999999999,9.83254615714898,0.0,-2.439024390243904,55.041421090662936,41.66666666666667,67.1875,55.35296867695185,48.38709677419355,62.31884057971014,54.73336089293096,36.58536585365854,72.88135593220339
7700.0,55.00000000000001,6.32805995004165,6.250000000000005,-4.6511627906976525,53.199509227285944,43.037974683544306,62.8099173553719,53.298611111111114,47.22222222222222,59.375,53.10077519379844,39.53488372093023,66.66666666666666
7800.0,59.0,-4.591836734693911,6.8181818181818,-17.14285714285716,47.12580032487333,16.3265306122449,72.8476821192053,46.262458471760795,28.57142857142857,63.95348837209303,48.02197802197802,11.428571428571429,84.61538461538461
7900.0,56.00000000000001,-3.969754253308084,-2.3255813953488134,-4.76190476190474,35.8974358974359,,71.7948717948718,28.57142857142857,0.0,57.14285714285714,48.275862068965516,0.0,96.55172413793103
8000.0,56.99999999999999,10.491257285595337,21.818181818181806,0.0,55.30426813981033,45.56962025316456,64.46280991735537,55.46875,50.0,60.9375,55.14075887392901,41.86046511627907,68.42105263157895
8100.0,56.00000000000001,-0.9174311926605514,13.725490196078443,-4.76190476190474,49.236697791611086,15.384615384615385,70.27027027027027,48.888888888888886,40.0,57.77777777777777,49.589490968801314,9.523809523809524,89.65517241379311
8200.0,59.0,0.0,4.651162790697678,0.0,,,74.21383647798743,,,59.0,50.0,0.0,100.0
8300.0,55.00000000000001,0.0,11.764705882352951,0.0,,,70.96774193548387,,,55.00000000000001,50.0,0.0,100.0
8400.0,56.00000000000001,0.0,0.0,6.382978723404261,,,71.7948717948718,,,56.00000000000001,50.0,0.0,100.0
8500.0,51.0,0.0,-11.363636363636376,0.0,,,67.54966887417218,,,51.0,50.0,0.0,100.0
8600.0,59.0,1.7257909875359763,12.765957446808498,0.0,52.642058508194204,8.888888888888888,73.54838709677419,54.6875,50.0,59.375,50.74410913600661,4.878048780487805,96.61016949152543
8700.0,49.0,-0.15710919088767142,-8.51063829787235,0.0,49.69858992504062,7.2727272727272725,64.82758620689654,49.479166666666664,50.0,48.95833333333333,49.91996798719487,3.9215686274509802,95.91836734693877
8800.0,62.0,0.0,28.301886792452834,2.5641025641025665,,,76.5432098765432,,,62.0,50.0,0.0,100.0
8900.0,57.99999999999999,0.0,12.49999999999999,0.0,,,73.41772151898734,,,57.99999999999999,50.0,0.0,100.0
9000.0,57.99999999999999,0.0,14.285714285714276,0.0,,,73.41772151898734,,,57.99999999999999,50.0,0.0,100.0
9100.0,63.0,-3.9325842696629247,21.276595744680847,-5.71428571428572,38.65030674846626,,77.30061349693251,32.142857142857146,0.0,64.28571428571429,48.46153846153846,0.0,96.92307692307692
9200.0,52.0,-3.2258064516129066,-2.1276595744680873,-11.62790697674417,48.23386114494518,29.411764705882355,63.63636363636363,48.00000000000001,40.0,56.00000000000001,48.470012239902076,23.25581395348837,73.68421052631578
9300.0,62.0,0.0,15.555555555555548,0.0,,,76.5432098765432,,,62.0,50.0,0.0,100.0
9400.0,59.0,0.0,2.3809523809523827,0.0,,,74.21383647798743,,,59.0,50.0,0.0,100.0
9500.0,56.99999999999999,0.0,18.867924528301884,0.0,,,72.61146496815287,,,56.99999999999999,50.0,0.0,100.0
9600.0,46.0,0.5524861878452942,11.475409836065575,-28.57142857142855,50.723999339316194,60.8695652173913,12.90322580645161,51.1520737327189,45.16129032258064,57.14285714285714,50.303030303030305,93.33333333333333,7.2727272727272725
9700.0,47.0,-4.49526813880127,-10.416666666666677,-29.268292682926827,47.6744642693511,44.21052631578948,49.52380952380952,47.70531400966183,38.88888888888889,56.52173913043478,47.643654402645716,51.21951219512195,44.06779661016949
9800.0,65.0,0.0,12.50000000000001,0.0,,,78.7878787878788,,,65.0,50.0,0.0,100.0
9900.0,61.0,-1.9874476987447833,25.0,-2.6315789473684235,37.88819875776397,,75.77639751552795,30.808080808080806,0.0,61.61616161616161,49.193548387096776,0.0,98.38709677419355
10000.0,51.0,-6.521739130434789,10.909090909090907,-8.888888888888898,44.15954415954416,10.90909090909091,66.20689655172414,41.666666666666664,30.0,53.333333333333336,46.96969696969697,6.666666666666667,87.27272727272727
10100.0,52.0,-11.162575266327009,-6.666666666666673,-23.076923076923066,43.508670929855555,17.241379310344826,66.19718309859155,42.17024041585445,26.31578947368421,58.0246913580247,44.934846574190836,12.82051282051282,77.04918032786885
10200.0,56.99999999999999,-4.470359572400409,15.686274509803914,-16.21621621621623,47.29088937429947,18.867924528301884,70.74829931972789,46.577380952380956,31.25,61.904761904761905,48.02659802659802,13.513513513513514,82.53968253968253
10300.0,53.0,-12.225405921681,-4.444444444444449,-30.555555555555554,43.33758060156762,17.543859649122805,67.13286713286712,42.28450874020494,23.809523809523807,60.75949367088608,44.44444444444444,13.88888888888889,75.0
10400.0,53.0,5.773857257417812,-11.904761904761887,4.081632653061228,52.901607276397755,49.46236559139784,56.074766355140184,52.922077922077925,52.27272727272727,53.57142857142857,52.881152460984396,46.93877551020408,58.82352941176471
10500.0,53.0,6.000000000000005,2.0833333333333353,0.0,53.000600233298236,53.46534653465347,52.52525252525252,53.0,54.0,52.0,53.00120048019208,52.94117647058824,53.06122448979592
10600.0,54.0,-3.6036036036035815,-9.523809523809506,-9.523809523809506,47.998866901379955,25.806451612903224,66.66666666666667,47.66899766899767,36.36363636363637,58.97435897435898,48.33333333333334,20.0,76.66666666666667
10700.0,56.00000000000001,11.823647294589188,8.333333333333341,2.2222222222222245,55.930963809622924,53.19148936170212,58.490566037735846,55.959595959595966,55.55555555555556,56.36363636363636,55.90236094437775,51.02040816326531,60.78431372549019
